Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.002000	0.158162	0.075985	94.222687	98.143564	
0.002000	0.088830	0.075120	96.783363	97.772277	
0.002000	0.076994	0.073104	97.082189	97.920792	
0.002000	0.068391	0.084146	97.521926	97.747525	
0.002000	0.064273	0.056338	97.563227	98.217822	
0.002000	0.061452	0.053489	97.713855	98.490099	
0.002000	0.056764	0.061423	97.711426	98.168317	
0.002000	0.055349	0.051343	97.869342	98.762376	
0.002000	0.053898	0.053095	97.891208	98.316832	
0.002000	0.052049	0.044504	98.039406	98.638614	
0.002000	0.049903	0.040601	98.095284	98.663366	
0.002000	0.048473	0.045152	98.080707	98.440594	
0.002000	0.047464	0.047377	98.131727	98.663366	
0.002000	0.045364	0.057548	98.192464	98.168317	
0.002000	0.045377	0.040833	98.248342	98.787129	
0.002000	0.044780	0.041889	98.209470	98.762376	
0.000400	0.041389	0.050222	98.367387	98.861386	
0.000400	0.044654	0.046143	98.211900	98.762376	
0.000400	0.038888	0.050284	98.464566	98.688119	
0.000400	0.038456	0.043440	98.520444	98.886139	
0.000400	0.038267	0.043464	98.522874	98.811881	
0.000400	0.037474	0.040918	98.505867	98.836634	
0.000080	0.035355	0.044312	98.624912	98.712871	
0.000080	0.037952	0.049013	98.513156	98.787129	
0.000080	0.033957	0.046101	98.624912	98.811881	
0.000080	0.037047	0.042371	98.520444	98.811881	
0.000080	0.035813	0.048679	98.607906	98.762376	
0.000080	0.035579	0.048084	98.673502	98.811881	
0.000016	0.035267	0.043545	98.600617	98.836634	
0.000016	0.034042	0.041161	98.668643	98.861386	
0.000016	0.034769	0.047269	98.632200	98.811881	
0.000016	0.036737	0.043912	98.527733	98.861386	
0.000016	0.035628	0.045126	98.593329	98.811881	
0.000016	0.033926	0.047094	98.658925	98.836634	
